date,fund,price
2026-02-06,TEST FUND,123.45
2026-03-12,ASN Duurzaam Aandelenfonds,194.88
2026-03-12,ASN Duurzaam Obligatiefonds,25.42
2026-03-12,ASN Milieu & Waterfonds,51.26
2026-03-12,Etappe Euro Aandelen­fonds,60.07
2026-03-12,Etappe Euro Obligatie­fonds,25.67
2026-03-12,Etappe Staatsobligaties 10+ Fonds,21.47
2026-03-12,Euro Aandelen­fonds,58.98
2026-03-12,Euro Mixfonds,38.6
2026-03-12,Euro Obligatiefonds,24.46
2026-03-12,Optimaal Euro Obligatiefonds,24.66
2026-03-12,Optimaal Staatsobligaties 10+ Fonds,21.64
2026-03-12,Optimaal Vastgoedfonds,34.8
2026-03-12,Optimaal Wereld Aandelenfonds,72.25
2026-03-12,Optimaalfonds Oranje,37.45
2026-03-12,PP Euro Aandelenfonds,63.16
2026-03-12,PP Euro Mixfonds,41.6
2026-03-12,PP Euro Obligatiefonds,25.54
2026-03-12,PP Optimaal Euro Mixfonds,40.74
2026-03-12,PP Wereld Aandelenfonds,76.15
2026-03-12,Wereld Beheer Mixfonds,38.59
2026-03-12,Zwitserleven Amerika Aandelenfonds,98.92
2026-03-12,Zwitserleven Credits Fonds,11.41
2026-03-12,Zwitserleven Credits Hypotheken Mixfonds,11.37
2026-03-12,Zwitserleven Duurzaam Wereld Aandelenfonds,36.93
2026-03-12,Zwitserleven Europees Aandelenfonds,37.19
2026-03-12,Zwitserleven Government Bonds 10+ Fonds,8.15
2026-03-12,Zwitserleven Index Aandelenfonds Europa,42.72
2026-03-12,Zwitserleven Index Aandelenfonds Noord-Amerika,49.26
2026-03-12,Zwitserleven Index Aandelenfonds Opkomende Landen,34.33
2026-03-12,Zwitserleven Index Aandelenfonds Pacific,38.04
2026-03-12,Zwitserleven Index Wereld Aandelenfonds,88.64
2026-03-12,Zwitserleven Kortlopend Obligatiefonds,6.06
2026-03-12,Zwitserleven Lifestyle Garantie,168.82
2026-03-12,Zwitserleven Long Duration Fonds,26.58
2026-03-12,Zwitserleven MaatschappijGarantie (2%),41.65
2026-03-12,Zwitserleven MaatschappijGarantie (3%),46.42
2026-03-12,Zwitserleven MaatschappijGarantie plus,53.51
2026-03-12,Zwitserleven Medium Duration Fonds,28.01
2026-03-12,Zwitserleven Mixfonds,58.1
2026-03-12,Zwitserleven Obligatiefonds,17.42
2026-03-12,Zwitserleven PPI Vanguard Inflation Linked Bond Index Fund,50.73
2026-03-12,Zwitserleven PPI Vanguard Small Cap Fund,54.05
2026-03-12,Zwitserleven PPI iShares Government Bond index Fund,50.22
2026-03-12,Zwitserleven PW Collectief Garantiefonds,19.89
2026-03-12,Zwitserleven PW Doorlopend Garantiefonds,13.31
2026-03-12,Zwitserleven PW Europees Beheer Fonds 3%,183.47
2026-03-12,Zwitserleven PW Europees Beheer Fonds 4%,185.35
2026-03-12,Zwitserleven PW Garandement,15.78
2026-03-12,Zwitserleven PW Garantie Plusfonds,17.97
